"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"SOCCER- JAPAN [[GET]] [[LUCKY]] WIN, CHINA IN [[SURPRISE]] DEFEAT.","SOCCER- JAPAN [[GΕT]] [[LUСKY]] WIN, CHINA IN [[SURΡRISE]] DEFEAT.",0.0,1.008054494857788,"[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9950999617576599,
    ""index"": 6,
    ""word"": ""J"",
    ""start"": 8,
    ""end"": 9
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9684495329856873,
    ""index"": 7,
    ""word"": ""##AP"",
    ""start"": 9,
    ""end"": 11
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9932600855827332,
    ""index"": 8,
    ""word"": ""##AN"",
    ""start"": 11,
    ""end"": 13
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.5412904620170593,
    ""index"": 18,
    ""word"": ""CH"",
    ""start"": 29,
    ""end"": 31
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.5053945183753967,
    ""index"": 19,
    ""word"": ""##IN"",
    ""start"": 31,
    ""end"": 33
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.764613926410675,
    ""index"": 20,
    ""word"": ""##A"",
    ""start"": 33,
    ""end"": 34
  }
]","[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9945998191833496,
    ""index"": 6,
    ""word"": ""J"",
    ""start"": 8,
    ""end"": 9
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.961164116859436,
    ""index"": 7,
    ""word"": ""##AP"",
    ""start"": 9,
    ""end"": 11
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9910058975219727,
    ""index"": 8,
    ""word"": ""##AN"",
    ""start"": 11,
    ""end"": 13
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.5289345979690552,
    ""index"": 12,
    ""word"": ""L"",
    ""start"": 18,
    ""end"": 19
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.4407689869403839,
    ""index"": 13,
    ""word"": ""##U"",
    ""start"": 19,
    ""end"": 20
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.4067656993865967,
    ""index"": 14,
    ""word"": ""##С"",
    ""start"": 20,
    ""end"": 21
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.4791199266910553,
    ""index"": 15,
    ""word"": ""##K"",
    ""start"": 21,
    ""end"": 22
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.666920006275177,
    ""index"": 20,
    ""word"": ""CH"",
    ""start"": 29,
    ""end"": 31
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.6807668805122375,
    ""index"": 21,
    ""word"": ""##IN"",
    ""start"": 31,
    ""end"": 33
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9137330651283264,
    ""index"": 22,
    ""word"": ""##A"",
    ""start"": 33,
    ""end"": 34
  }
]","NER",65,"Successful"
"[[Nadim]] [[Ladki]]","[[Nаdіm]] [[Lаdki]]",5.939424991607666,8.145882606506348,"[
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9996979236602783,
    ""index"": 1,
    ""word"": ""Na"",
    ""start"": 0,
    ""end"": 2
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9929589033126831,
    ""index"": 2,
    ""word"": ""##di"",
    ""start"": 2,
    ""end"": 4
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9990008473396301,
    ""index"": 3,
    ""word"": ""##m"",
    ""start"": 4,
    ""end"": 5
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9996190071105957,
    ""index"": 4,
    ""word"": ""La"",
    ""start"": 6,
    ""end"": 8
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9780004620552063,
    ""index"": 5,
    ""word"": ""##d"",
    ""start"": 8,
    ""end"": 9
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9701476693153381,
    ""index"": 6,
    ""word"": ""##ki"",
    ""start"": 9,
    ""end"": 11
  }
]","[
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9911683797836304,
    ""index"": 1,
    ""word"": ""N"",
    ""start"": 0,
    ""end"": 1
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8132598400115967,
    ""index"": 2,
    ""word"": ""##а"",
    ""start"": 1,
    ""end"": 2
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8823015093803406,
    ""index"": 3,
    ""word"": ""##d"",
    ""start"": 2,
    ""end"": 3
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8719267249107361,
    ""index"": 4,
    ""word"": ""##і"",
    ""start"": 3,
    ""end"": 4
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9944880604743958,
    ""index"": 5,
    ""word"": ""##m"",
    ""start"": 4,
    ""end"": 5
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9985017776489258,
    ""index"": 6,
    ""word"": ""L"",
    ""start"": 6,
    ""end"": 7
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8905071020126343,
    ""index"": 7,
    ""word"": ""##а"",
    ""start"": 7,
    ""end"": 8
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.7327904105186462,
    ""index"": 8,
    ""word"": ""##d"",
    ""start"": 8,
    ""end"": 9
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9709384441375732,
    ""index"": 9,
    ""word"": ""##ki"",
    ""start"": 9,
    ""end"": 11
  }
]","NER",65,"Successful"
"AL-AIN, [[United]] [[Arab]] Emirates 1996-12-06","AL-AIN, [[Unіtеd]] [[Arаb]] Emirates 1996-12-06",0.0,0.0,"[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9984487295150757,
    ""index"": 1,
    ""word"": ""AL"",
    ""start"": 0,
    ""end"": 2
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9677125215530396,
    ""index"": 2,
    ""word"": ""-"",
    ""start"": 2,
    ""end"": 3
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9955710768699646,
    ""index"": 3,
    ""word"": ""AI"",
    ""start"": 3,
    ""end"": 5
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9939817786216736,
    ""index"": 4,
    ""word"": ""##N"",
    ""start"": 5,
    ""end"": 6
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997562766075134,
    ""index"": 6,
    ""word"": ""United"",
    ""start"": 8,
    ""end"": 14
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997227787971497,
    ""index"": 7,
    ""word"": ""Arab"",
    ""start"": 15,
    ""end"": 19
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998668432235718,
    ""index"": 8,
    ""word"": ""Emirates"",
    ""start"": 20,
    ""end"": 28
  }
]","[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9980192184448242,
    ""index"": 1,
    ""word"": ""AL"",
    ""start"": 0,
    ""end"": 2
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9225602746009827,
    ""index"": 2,
    ""word"": ""-"",
    ""start"": 2,
    ""end"": 3
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9906602501869202,
    ""index"": 3,
    ""word"": ""AI"",
    ""start"": 3,
    ""end"": 5
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9830852150917053,
    ""index"": 4,
    ""word"": ""##N"",
    ""start"": 5,
    ""end"": 6
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.8992595672607422,
    ""index"": 6,
    ""word"": ""Un"",
    ""start"": 8,
    ""end"": 10
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.6347916722297668,
    ""index"": 7,
    ""word"": ""##і"",
    ""start"": 10,
    ""end"": 11
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9929104447364807,
    ""index"": 11,
    ""word"": ""A"",
    ""start"": 15,
    ""end"": 16
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9775632619857788,
    ""index"": 12,
    ""word"": ""##r"",
    ""start"": 16,
    ""end"": 17
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9430614709854126,
    ""index"": 13,
    ""word"": ""##а"",
    ""start"": 17,
    ""end"": 18
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9789107441902161,
    ""index"": 14,
    ""word"": ""##b"",
    ""start"": 18,
    ""end"": 19
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9984868764877319,
    ""index"": 15,
    ""word"": ""Emirates"",
    ""start"": 20,
    ""end"": 28
  }
]","NER",35,"Failed"
"Japan began the defence of their [[Asian]] Cup title with a lucky 2-1 win against [[Syria]] in a [[Group]] C championship match on Friday.","Japan began the defence of their [[Αsian]] Cup title with a lucky 2-1 win against [[Syrіa]] in a [[Grοup]] C championship match on Friday.",0.0,0.0,"[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998020529747009,
    ""index"": 1,
    ""word"": ""Japan"",
    ""start"": 0,
    ""end"": 5
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9762684106826782,
    ""index"": 7,
    ""word"": ""Asian"",
    ""start"": 33,
    ""end"": 38
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9974727034568787,
    ""index"": 8,
    ""word"": ""Cup"",
    ""start"": 39,
    ""end"": 42
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997666478157043,
    ""index"": 18,
    ""word"": ""Syria"",
    ""start"": 78,
    ""end"": 83
  }
]","[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997729659080505,
    ""index"": 1,
    ""word"": ""Japan"",
    ""start"": 0,
    ""end"": 5
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9958702921867371,
    ""index"": 7,
    ""word"": ""Α"",
    ""start"": 33,
    ""end"": 34
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9881227612495422,
    ""index"": 8,
    ""word"": ""##sian"",
    ""start"": 34,
    ""end"": 38
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9960553646087646,
    ""index"": 9,
    ""word"": ""Cup"",
    ""start"": 39,
    ""end"": 42
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9959004521369934,
    ""index"": 19,
    ""word"": ""S"",
    ""start"": 78,
    ""end"": 79
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9232460260391235,
    ""index"": 20,
    ""word"": ""##yr"",
    ""start"": 79,
    ""end"": 81
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.7386200428009033,
    ""index"": 21,
    ""word"": ""##і"",
    ""start"": 81,
    ""end"": 82
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.9909289479255676,
    ""index"": 22,
    ""word"": ""##a"",
    ""start"": 82,
    ""end"": 83
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9773246645927429,
    ""index"": 25,
    ""word"": ""G"",
    ""start"": 89,
    ""end"": 90
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.7123696804046631,
    ""index"": 28,
    ""word"": ""##up"",
    ""start"": 92,
    ""end"": 94
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.8862485289573669,
    ""index"": 29,
    ""word"": ""C"",
    ""start"": 95,
    ""end"": 96
  }
]","NER",35,"Failed"
"But China saw their luck desert them in the [[second]] [[match]] of the group, crashing to a surprise 2-0 [[defeat]] to newcomers Uzbekistan.","But China saw their luck desert them in the [[ѕecond]] [[mаtch]] of the group, crashing to a surprise 2-0 [[ԁefeat]] to newcomers Uzbekistan.",0.0,0.0,"[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998183846473694,
    ""index"": 2,
    ""word"": ""China"",
    ""start"": 4,
    ""end"": 9
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9996594190597534,
    ""index"": 27,
    ""word"": ""Uzbekistan"",
    ""start"": 118,
    ""end"": 128
  }
]","[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998188614845276,
    ""index"": 2,
    ""word"": ""China"",
    ""start"": 4,
    ""end"": 9
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9996621608734131,
    ""index"": 29,
    ""word"": ""Uzbekistan"",
    ""start"": 118,
    ""end"": 128
  }
]","NER",35,"Failed"
"China controlled most of the [[match]] and saw several chances missed until the 78th minute when Uzbek striker [[Igor]] Shkvyrin took advantage of a misdirected defensive header to lob the ball over the advancing Chinese [[keeper]] and into an empty net.","China controlled most of the [[matсh]] and saw several chances missed until the 78th minute when Uzbek striker [[Igοr]] Shkvyrin took advantage of a misdirected defensive header to lob the ball over the advancing Chinese [[kеeper]] and into an empty net.",5.492788791656494,8.353727340698242,"[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997816681861877,
    ""index"": 1,
    ""word"": ""China"",
    ""start"": 0,
    ""end"": 5
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9979750514030457,
    ""index"": 18,
    ""word"": ""U"",
    ""start"": 93,
    ""end"": 94
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9894792437553406,
    ""index"": 19,
    ""word"": ""##z"",
    ""start"": 94,
    ""end"": 95
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.996921956539154,
    ""index"": 20,
    ""word"": ""##bek"",
    ""start"": 95,
    ""end"": 98
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9994372725486755,
    ""index"": 22,
    ""word"": ""Igor"",
    ""start"": 107,
    ""end"": 111
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9995008707046509,
    ""index"": 23,
    ""word"": ""S"",
    ""start"": 112,
    ""end"": 113
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9525272250175476,
    ""index"": 24,
    ""word"": ""##h"",
    ""start"": 113,
    ""end"": 114
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.7246336340904236,
    ""index"": 25,
    ""word"": ""##k"",
    ""start"": 114,
    ""end"": 115
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8198036551475525,
    ""index"": 26,
    ""word"": ""##vy"",
    ""start"": 115,
    ""end"": 117
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9968863129615784,
    ""index"": 27,
    ""word"": ""##rin"",
    ""start"": 117,
    ""end"": 120
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.999038815498352,
    ""index"": 47,
    ""word"": ""Chinese"",
    ""start"": 205,
    ""end"": 212
  }
]","[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997920393943787,
    ""index"": 1,
    ""word"": ""China"",
    ""start"": 0,
    ""end"": 5
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9982227683067322,
    ""index"": 20,
    ""word"": ""U"",
    ""start"": 93,
    ""end"": 94
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9910049438476562,
    ""index"": 21,
    ""word"": ""##z"",
    ""start"": 94,
    ""end"": 95
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.996742308139801,
    ""index"": 22,
    ""word"": ""##bek"",
    ""start"": 95,
    ""end"": 98
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9990794658660889,
    ""index"": 24,
    ""word"": ""I"",
    ""start"": 107,
    ""end"": 108
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9608304500579834,
    ""index"": 25,
    ""word"": ""##g"",
    ""start"": 108,
    ""end"": 109
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9405025839805603,
    ""index"": 26,
    ""word"": ""##ο"",
    ""start"": 109,
    ""end"": 110
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9981672763824463,
    ""index"": 27,
    ""word"": ""##r"",
    ""start"": 110,
    ""end"": 111
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.999735414981842,
    ""index"": 28,
    ""word"": ""S"",
    ""start"": 112,
    ""end"": 113
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9527608752250671,
    ""index"": 29,
    ""word"": ""##h"",
    ""start"": 113,
    ""end"": 114
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.7331079840660095,
    ""index"": 30,
    ""word"": ""##k"",
    ""start"": 114,
    ""end"": 115
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.7820926904678345,
    ""index"": 31,
    ""word"": ""##vy"",
    ""start"": 115,
    ""end"": 117
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9874510765075684,
    ""index"": 32,
    ""word"": ""##rin"",
    ""start"": 117,
    ""end"": 120
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9993083477020264,
    ""index"": 52,
    ""word"": ""Chinese"",
    ""start"": 205,
    ""end"": 212
  }
]","NER",65,"Successful"
"Oleg [[Shatskiku]] made sure of the win in injury time, hitting an [[unstoppable]] left foot shot from [[just]] outside the area.","Oleg [[Shаtskiku]] made sure of the win in injury time, hitting an [[unstopрable]] left foot shot from [[juѕt]] outside the area.",5.941165447235107,7.665312767028809,"[
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9992066025733948,
    ""index"": 1,
    ""word"": ""Ole"",
    ""start"": 0,
    ""end"": 3
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9995224475860596,
    ""index"": 2,
    ""word"": ""##g"",
    ""start"": 3,
    ""end"": 4
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9996681213378906,
    ""index"": 3,
    ""word"": ""S"",
    ""start"": 5,
    ""end"": 6
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9951527118682861,
    ""index"": 4,
    ""word"": ""##hat"",
    ""start"": 6,
    ""end"": 9
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9679040908813477,
    ""index"": 5,
    ""word"": ""##ski"",
    ""start"": 9,
    ""end"": 12
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9797117114067078,
    ""index"": 6,
    ""word"": ""##ku"",
    ""start"": 12,
    ""end"": 14
  }
]","[
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9988346695899963,
    ""index"": 1,
    ""word"": ""Ole"",
    ""start"": 0,
    ""end"": 3
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.999476969242096,
    ""index"": 2,
    ""word"": ""##g"",
    ""start"": 3,
    ""end"": 4
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9996434450149536,
    ""index"": 3,
    ""word"": ""S"",
    ""start"": 5,
    ""end"": 6
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9490814208984375,
    ""index"": 4,
    ""word"": ""##h"",
    ""start"": 6,
    ""end"": 7
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9764633178710938,
    ""index"": 5,
    ""word"": ""##а"",
    ""start"": 7,
    ""end"": 8
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9974042773246765,
    ""index"": 6,
    ""word"": ""##tsk"",
    ""start"": 8,
    ""end"": 11
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8399977087974548,
    ""index"": 7,
    ""word"": ""##ik"",
    ""start"": 11,
    ""end"": 13
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9044106006622314,
    ""index"": 8,
    ""word"": ""##u"",
    ""start"": 13,
    ""end"": 14
  }
]","NER",65,"Successful"
"The former [[Soviet]] republic was playing in an [[Asian]] Cup finals tie for the [[first]] time.","The former [[Soviеt]] republic was playing in an [[Asіan]] Cup finals tie for the [[firѕt]] time.",0.0,0.0,"[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9985392093658447,
    ""index"": 3,
    ""word"": ""Soviet"",
    ""start"": 11,
    ""end"": 17
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9799860715866089,
    ""index"": 9,
    ""word"": ""Asian"",
    ""start"": 45,
    ""end"": 50
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9974246025085449,
    ""index"": 10,
    ""word"": ""Cup"",
    ""start"": 51,
    ""end"": 54
  }
]","[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9909172654151917,
    ""index"": 3,
    ""word"": ""So"",
    ""start"": 11,
    ""end"": 13
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.7965227961540222,
    ""index"": 4,
    ""word"": ""##vi"",
    ""start"": 13,
    ""end"": 15
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.7173307538032532,
    ""index"": 6,
    ""word"": ""##t"",
    ""start"": 16,
    ""end"": 17
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9959312081336975,
    ""index"": 12,
    ""word"": ""As"",
    ""start"": 45,
    ""end"": 47
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9898484349250793,
    ""index"": 13,
    ""word"": ""##і"",
    ""start"": 47,
    ""end"": 48
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9848142266273499,
    ""index"": 14,
    ""word"": ""##an"",
    ""start"": 48,
    ""end"": 50
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.996038556098938,
    ""index"": 15,
    ""word"": ""Cup"",
    ""start"": 51,
    ""end"": 54
  }
]","NER",35,"Failed"
"Despite [[winning]] the Asian Games title two years ago, [[Uzbekistan]] are in the finals as [[outsiders.]]","Despite [[winnіng]] the Asian Games title two years ago, [[Uzbеkistan]] are in the finals as [[outsіders.]]",0.0,0.0,"[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9735670685768127,
    ""index"": 4,
    ""word"": ""Asian"",
    ""start"": 20,
    ""end"": 25
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9971873164176941,
    ""index"": 5,
    ""word"": ""Games"",
    ""start"": 26,
    ""end"": 31
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997908473014832,
    ""index"": 11,
    ""word"": ""Uzbekistan"",
    ""start"": 53,
    ""end"": 63
  }
]","[
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9766114354133606,
    ""index"": 7,
    ""word"": ""Asian"",
    ""start"": 20,
    ""end"": 25
  },
  {
    ""entity"": ""I-MISC"",
    ""score"": 0.9967731833457947,
    ""index"": 8,
    ""word"": ""Games"",
    ""start"": 26,
    ""end"": 31
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.6890091300010681,
    ""index"": 14,
    ""word"": ""U"",
    ""start"": 53,
    ""end"": 54
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.500094473361969,
    ""index"": 15,
    ""word"": ""##z"",
    ""start"": 54,
    ""end"": 55
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.7160543203353882,
    ""index"": 16,
    ""word"": ""##b"",
    ""start"": 55,
    ""end"": 56
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.5219417214393616,
    ""index"": 17,
    ""word"": ""##е"",
    ""start"": 56,
    ""end"": 57
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.5785285830497742,
    ""index"": 18,
    ""word"": ""##kis"",
    ""start"": 57,
    ""end"": 60
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.5837726593017578,
    ""index"": 19,
    ""word"": ""##tan"",
    ""start"": 60,
    ""end"": 63
  }
]","NER",35,"Failed"
"Two goals from [[defensive]] errors in the last six minutes allowed [[Japan]] to come from behind and collect all three points from [[their]] opening meeting against Syria.","Two goals from [[ԁefensive]] errors in the last six minutes allowed [[Jаpan]] to come from behind and collect all three points from [[tһeir]] opening meeting against Syria.",0.0,1.7951538562774658,"[
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9997974038124084,
    ""index"": 12,
    ""word"": ""Japan"",
    ""start"": 64,
    ""end"": 69
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9998229146003723,
    ""index"": 27,
    ""word"": ""Syria"",
    ""start"": 154,
    ""end"": 159
  }
]","[
  {
    ""entity"": ""I-PER"",
    ""score"": 0.9705063104629517,
    ""index"": 12,
    ""word"": ""J"",
    ""start"": 64,
    ""end"": 65
  },
  {
    ""entity"": ""I-ORG"",
    ""score"": 0.3662266731262207,
    ""index"": 13,
    ""word"": ""##а"",
    ""start"": 65,
    ""end"": 66
  },
  {
    ""entity"": ""I-PER"",
    ""score"": 0.8246476054191589,
    ""index"": 14,
    ""word"": ""##pan"",
    ""start"": 66,
    ""end"": 69
  },
  {
    ""entity"": ""I-LOC"",
    ""score"": 0.9996840953826904,
    ""index"": 29,
    ""word"": ""Syria"",
    ""start"": 154,
    ""end"": 159
  }
]","NER",65,"Successful"
